timestamp,user_id,amount,location,device_type,is_fraud,age,income,debt,credit_score
2023-12-15 02:48:24,3cbf0b8a-c799-4c0e-9782-89272ab8fa2b,998.99,Grantfurt,Mobile,0,56,42524.98,8394.05,655
2023-10-30 11:08:37,3675ed98-6863-4bae-b089-6f0db2df006b,241.39,Kimberlychester,Tablet,0,52,69884.04,28434.06,395
2023-11-21 05:19:35,4be1043f-20ee-4ac5-a689-b25c6a1de50c,836.42,Gutierrezville,Desktop,0,58,126953.62,39121.78,496
2023-11-07 00:03:25,cad0b3c9-099f-479b-8043-6d5ecb4e1467,612.74,Markside,Desktop,0,19,128650.7,39652.48,612
2023-04-02 14:12:23,b6ebea7d-ba62-41d7-b042-3978a23fef8b,135.55,Anthonyshire,Tablet,0,59,102020.39,7439.81,302
2023-10-24 14:29:43,76bf1858-a7a5-4cb0-92a3-a9194d52d423,384.76,West Alyssa,Tablet,0,61,43097.71,37233.99,576
2023-12-18 09:04:37,97d575b9-0172-4c14-a631-15da08be642a,416.01,East Mary,Desktop,0,30,124773.94,33727.29,535
2023-05-20 04:15:27,34670567-42ea-414e-979f-134ed4e64d26,952.75,Nicholasmouth,Mobile,0,34,47129.3,18546.35,839
2023-07-26 04:37:43,a8a16218-ec54-4339-9535-914c0427a6f2,387.44,East Alex,Tablet,0,57,53072.24,1864.12,745
2023-12-01 12:49:43,41fcc0a5-98a3-4cb4-9cba-4ccd74b42c28,778.29,South Timothy,Tablet,0,41,125551.6,8786.39,555
2023-09-09 01:20:53,27e69a5e-d764-45c4-8a1c-a7b119e2dff2,730.18,East Meghan,Mobile,0,29,69883.47,31011.11,436
2023-06-04 08:06:52,f79a69be-01a6-4aad-94b5-bbb6379ecb1d,558.94,Staffordstad,Desktop,0,39,22707.06,13449.43,648
2023-03-28 07:51:11,e12a7ca7-efd9-4ab1-9dd5-8ec18674ce6a,822.98,West Collinbury,Desktop,0,19,95090.31,17369.81,835
2023-09-07 21:41:39,3cc76920-c5b3-45eb-b286-d0be9422dfdd,808.89,North Jasonside,Desktop,0,41,99141.22,43956.9,791
2023-07-13 14:38:13,5bdcffed-8a88-4c5d-9d5e-ec9384889d6a,845.09,East Philip,Mobile,0,18,52336.03,21346.0,732
2023-06-24 08:28:27,2a5f80f4-8eb2-449e-a298-c17607232ea1,290.55,Valerieshire,Mobile,0,31,61953.07,4806.31,781
2023-05-07 03:04:45,fb5e39b6-478d-454c-b449-b1801fb5c8b0,410.81,Nicholashaven,Tablet,0,20,53619.85,6230.04,835
2023-12-31 09:06:40,96923f80-f205-4ca9-8814-ec81d237a61b,209.4,West Paul,Mobile,0,20,119062.88,39908.49,648
2023-06-07 08:33:56,0d83ea11-edd6-4f41-ae39-e66237e85514,281.23,Lake Rebeccaborough,Mobile,0,53,86125.64,22766.46,581
2023-04-11 06:42:11,c5f82e43-58bf-4250-8cb8-1e303858dcd1,986.1,Bradyshire,Mobile,0,65,114864.36,32252.81,686
2023-09-25 17:05:51,d180679c-8996-40da-a7f3-4d49fd91288f,521.18,Lake Brittanyfort,Tablet,0,45,75860.93,29452.14,564
